Sample Number,Site Name,Date (mm/dd/yy),Site,UTM Zone,UTM Easting (m),UTM Northing (m),Elevation (m.a.s.l.),Sample Type,d2H (ä),d18O (ä),Bio Data
29,Lolo Spring,7/25/17,MH,10T,597324,5038218,686.71,SP,-80.1,-11.55,X
30,Lookout Spring,7/24/17,MH,10T,614750,5021952,1680.06,SP,-91,-12.92,X
31,NF 3540 Spring,7/24/17,MH,10T,609146,5017604,1341.12,SP,-86.7,-12.14,
32,Tilly Jane Spring,7/24/17,MH,10T,611039,5033234,820.52,SP,-96.1,-12.95,
33,Palmer B Spring,7/23/17,MH,10T,605791,5023065,1677.01,SP,-97.6,-13.51,X
34,Palmer Meadow Seep,7/23/17,MH,10T,607159,5020710,1410,SP,-88.5,-12.4,
35,Palmer Seep,7/27/17,MH,10T,601333,5021068,1859.89,SP,-89.1,-12.74,X
36,Paradise Park Spring,7/29/17,MH,10T,598825,5021679,1582.22,SP,-88.3,-12.3,X
37,Sand Canyon Spring,7/27/17,MH,10T,597584,5018995,1272.54,SP,-84.9,-12.04,X
38,Still Creek Spring,7/27/17,MH,10T,600085,5019146,1529.49,SP,-84.5,-12.17,X
39,West Fork Salmon Spring,7/27/17,MH,10T,600445,5018976,1536.5,SP,-85.5,-12.28,X
40,Zigzag Spring,7/29/17,MH,10T,598783,5022136,1571.55,SP,-86.3,-12.38,X
41,Eliot Glacier Catchment - Snow 1,7/20/18,MH,10T,604040,5026619,2061.36,SN,-84.61,-11.72,
42,Sand Canyon Trib 2,7/19/18,MH,10T,598195,5018511,1311.55,SP,-85.24,-12.18,
43,West Fork Salmon Spring,7/18/18,MH,10T,600445,5018976,1536.5,SP,-85.65,-12.21,
44,Sherwood Camp Spring,7/20/18,MH,10T,611907,5027809,965.91,SP,-92.39,-12.44,
45,Sand Canyon Trib 1,7/19/18,MH,10T,597584,5018995,1272.54,SP,-81.37,-11.71,
46,Eliot Glacier Catchment - Surface Snow/Algae,7/20/18,MH,10T,604040,5026619,2061.36,SA,-88.41,-12.1,
47,Still Creek Spring,7/18/18,MH,10T,600085,5019146,1529.49,SP,-85.76,-12.26,
48,Camp Creek Spring,7/18/18,MH,10T,598937,5018636,1369.47,SP,-85.91,-12.29,
49,Eliot Glacier Catchment - Glacial Ice,7/20/18,MH,10T,604024,5026621,2103.12,SN,-87.22,-12.68,
50,Palmer/White River Bottom Snow Core,7/22/18,MH,10T,601740,5023501,2545.69,SN,-79.78,-11.5,
51,Surface Snow Eliot,7/20/18,MH,10T,604024,5026632,2102.82,SN,-82.84,-11.43,
52,Palmer/White River Snow Core Integrated,7/22/18,MH,10T,601740,5023501,2545.69,SN,-79.47,-11.35,
53,Palmer Lower Fresh Snow Pack,7/21/18,MH,10T,600512,5020825,1828.5,SN,-75.46,-10.49,
54,Palmer/White River Top Snow Core,7/22/18,MH,10T,601740,5023501,2545.69,SN,-81.95,-11.26,
55,Lolo Spring,7/17/18,MH,10T,597324,5038218,686.71,SP,-80.21,-11.51,
56,Palmer/White River Surface Snow,7/22/18,MH,10T,601740,5023501,2545.69,SN,-86.02,-11.79,
57,Zigzag Spring,7/21/18,MH,10T,598783,5022136,1571.55,SP,-86.89,-12.3,
