"","JM1710_Coe_Spring_Run","JM1711_Paradise_Park_Spring","JM1716_Bell_Spring","JM1717_Buzzard_Fountain","JM1719_Palmer_B","JM1722_James_Spring","JM1724_Lolo_Spring","JM1726_Choss_Seep","JM1727_Zigzag_Spring","JM1728_Coe_Spring_B","JM1766_James_Spring","JM1767_Sandy_Creek_Trib.","JM1776_Buzzard_Fountain","JM1778_Paradise_Park_Spring","JM1785_Choss_Seep"
"Otu05440",0,0,2,0,0,1,4,0,0,0,0,0,0,0,2
"Otu05441",0,0,5,0,0,1,0,0,0,2,3,0,0,0,0
"Otu05443",0,0,4,0,0,0,0,0,0,1,0,0,0,0,0
"Otu05446",3,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05448",1,1,1,0,0,0,0,0,0,0,0,0,0,0,2
"Otu05450",0,0,5,0,0,0,0,0,0,0,4,0,0,0,0
"Otu05451",0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
"Otu05453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05455",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Otu05456",4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Otu05457",0,0,0,0,0,0,5,0,0,0,0,0,0,1,0
"Otu05460",4,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Otu05463",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Otu05465",4,0,4,0,0,1,0,0,0,0,0,0,0,0,0
"Otu05466",0,0,1,0,0,0,0,0,0,0,9,0,0,0,0
"Otu05467",0,0,11,0,2,1,0,0,0,0,0,0,0,0,0
"Otu05468",1,0,0,0,0,5,0,0,0,0,3,0,0,0,0
"Otu05469",0,0,12,0,0,3,0,0,0,0,0,0,0,0,0
"Otu05470",5,0,0,0,0,3,0,0,0,0,1,0,0,0,0
"Otu05471",2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Otu05474",4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05475",2,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05478",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Otu05479",3,2,0,0,0,5,0,0,0,0,0,0,0,0,0
"Otu05480",0,0,1,0,0,0,0,0,0,0,2,2,0,0,0
"Otu05482",1,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05484",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"Otu05486",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05488",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Otu05492",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Otu05493",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Otu05494",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Otu05495",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05496",3,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Otu05497",0,0,12,0,0,2,0,0,0,0,0,0,0,0,0
"Otu05499",0,6,0,0,0,0,0,0,0,0,0,0,0,0,2
"Otu05501",0,0,0,0,0,0,1,0,0,2,0,0,0,0,1
"Otu05504",0,0,0,3,2,0,0,0,0,0,0,2,0,0,0
"Otu05506",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05509",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Otu05510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Otu05512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05513",0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
"Otu05516",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05517",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Otu05518",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Otu05519",3,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Otu05520",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05523",3,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"Otu05524",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05528",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
"Otu05529",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Otu05532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05533",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05536",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Otu05537",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Otu05542",0,0,0,2,0,0,0,1,1,0,0,1,0,0,0
"Otu05543",3,0,2,0,0,2,0,0,0,0,0,1,0,0,0
"Otu05545",0,0,0,0,0,1,1,0,0,0,0,0,0,4,0
"Otu05546",2,0,0,1,0,0,0,0,0,6,0,0,0,1,0
"Otu05547",1,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Otu05548",0,0,1,0,0,0,0,0,0,5,0,1,0,0,0
"Otu05550",5,1,0,0,0,2,3,0,0,1,0,0,0,0,0
"Otu05551",5,0,1,0,0,4,0,0,0,0,0,0,0,0,0
"Otu05553",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"Otu05554",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05556",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05561",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05562",5,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"Otu05564",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Otu05565",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Otu05566",0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
"Otu05567",0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
"Otu05570",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Otu05571",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05574",3,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"Otu05575",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Otu05576",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05578",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05580",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Otu05581",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05582",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05585",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Otu05586",5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Otu05587",0,0,0,0,0,0,0,0,0,0,2,1,2,0,0
"Otu05591",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Otu05592",6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Otu05594",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Otu05597",0,0,0,0,0,0,0,0,0,0,1,0,11,0,0
"Otu05600",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"Otu05601",0,0,1,0,0,2,0,0,0,0,0,0,0,1,7
"Otu05602",0,1,0,0,0,0,0,0,0,0,4,0,0,0,1
"Otu05607",2,0,3,0,0,7,0,0,0,0,0,0,0,0,0
"Otu05608",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05609",6,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05610",4,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Otu05611",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Otu05612",7,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Otu05613",7,0,2,0,0,1,0,0,0,3,0,0,0,0,0
"Otu05614",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Otu05617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05618",2,0,0,0,0,0,2,0,0,3,0,0,0,0,0
"Otu05619",0,0,9,0,0,0,1,0,0,0,0,2,0,0,0
"Otu05620",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Otu05621",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05622",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Otu05623",3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Otu05625",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Otu05629",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Otu05631",1,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"Otu05633",0,0,0,0,0,13,0,0,0,2,0,0,0,0,0
"Otu05634",0,0,5,0,0,1,1,0,0,2,0,1,0,0,1
"Otu05635",0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
"Otu05637",0,0,7,0,0,7,2,0,0,0,0,0,0,0,0
"Otu05638",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"Otu05639",7,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Otu05640",1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"Otu05642",0,0,0,0,0,3,1,0,0,0,0,1,0,1,2
"Otu05644",0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Otu05645",1,0,1,0,0,1,0,0,0,1,0,4,0,0,0
"Otu05648",0,0,0,0,0,0,0,0,0,0,5,0,0,0,1
"Otu05651",0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
"Otu05655",0,0,6,0,0,5,0,0,0,0,1,0,0,0,0
"Otu05657",0,3,0,0,0,4,0,0,0,0,0,0,0,0,0
"Otu05658",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05660",4,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05661",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Otu05662",0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
"Otu05663",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05668",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Otu05669",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05670",0,0,0,1,0,0,0,0,0,10,0,0,0,0,0
"Otu05672",7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05674",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05676",0,0,0,0,0,5,0,0,0,2,0,0,0,0,0
"Otu05678",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Otu05679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Otu05680",0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
"Otu05681",2,0,2,0,0,3,0,0,0,0,0,0,0,1,0
"Otu05682",0,0,0,0,0,2,0,0,12,0,0,0,0,0,0
"Otu05683",0,0,0,0,0,1,0,0,0,3,0,0,0,0,6
"Otu05684",1,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"Otu05685",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Otu05686",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05687",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Otu05689",3,4,3,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05690",0,0,0,0,0,2,0,0,0,3,0,0,0,0,0
"Otu05691",5,0,1,1,0,0,0,0,0,0,3,0,0,0,0
"Otu05693",0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
"Otu05695",5,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Otu05697",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Otu05698",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05700",8,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Otu05702",0,0,0,0,0,1,1,0,0,0,2,1,0,0,0
"Otu05705",0,0,1,0,0,6,0,0,0,2,0,0,0,0,0
"Otu05706",0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
"Otu05710",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Otu05711",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05712",0,0,0,0,0,0,0,0,0,0,1,1,0,0,7
"Otu05714",0,0,0,0,0,0,0,0,0,0,4,0,0,0,1
"Otu05722",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Otu05723",5,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Otu05725",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Otu05727",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Otu05728",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Otu05731",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05732",0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"Otu05733",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Otu05735",0,1,3,0,0,1,0,0,0,0,0,0,1,1,0
"Otu05738",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"Otu05739",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"Otu05742",0,0,0,0,0,0,0,0,0,0,3,0,0,0,2
"Otu05745",0,2,0,0,0,0,0,0,0,0,2,0,0,0,2
"Otu05748",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"Otu05749",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Otu05750",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Otu05752",2,0,8,0,0,2,0,0,0,0,0,0,0,0,0
"Otu05754",0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05755",3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Otu05756",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"Otu05757",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"Otu05758",4,0,0,0,0,5,0,0,0,4,0,0,0,0,0
"Otu05761",0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
"Otu05764",0,0,0,0,0,0,0,0,0,0,5,0,0,0,2
"Otu05767",0,0,0,2,0,1,2,0,0,2,0,0,0,0,0
"Otu05768",1,0,4,0,0,1,0,0,0,0,0,0,0,0,0
"Otu05769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Otu05770",2,0,2,0,0,0,0,0,0,0,0,1,0,1,0
"Otu05772",3,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Otu05773",0,0,0,0,0,16,0,0,0,0,0,0,0,0,1
"Otu05775",2,0,0,0,0,1,0,0,4,0,0,0,0,1,0
"Otu05777",0,0,1,0,0,0,3,0,0,1,0,0,0,0,0
"Otu05778",0,0,0,1,0,1,0,0,0,9,0,0,0,0,0
"Otu05779",0,0,0,0,5,0,0,0,0,0,0,1,0,0,0
"Otu05781",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Otu05784",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Otu05785",0,1,0,0,0,9,0,0,0,0,1,0,0,0,0
"Otu05786",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Otu05787",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"Otu05788",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05789",0,0,0,0,0,0,0,0,0,0,2,0,3,0,0
"Otu05790",2,0,4,0,0,0,0,0,0,0,3,0,0,0,0
"Otu05791",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05792",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05793",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Otu05794",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05799",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"Otu05801",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Otu05802",3,0,0,0,0,1,0,0,0,2,0,0,0,0,0
"Otu05805",1,0,7,0,0,4,0,0,0,0,0,0,0,0,0
"Otu05807",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Otu05810",5,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Otu05811",3,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Otu05812",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05814",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Otu05815",0,0,2,0,0,0,0,0,0,0,0,6,0,0,2
"Otu05818",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"Otu05819",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Otu05820",3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Otu05822",0,0,1,0,0,0,1,0,0,0,0,0,0,3,0
"Otu05823",6,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"Otu05825",0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
"Otu05826",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05828",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05830",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05833",0,0,8,0,0,2,2,0,0,0,0,0,0,0,0
"Otu05834",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05836",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Otu05839",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05840",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Otu05841",0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
"Otu05842",0,0,0,3,0,0,0,0,0,0,4,0,0,0,0
"Otu05843",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Otu05844",0,0,1,0,0,0,0,0,0,2,4,0,0,0,0
"Otu05845",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05848",0,0,2,0,0,6,0,0,0,5,0,0,0,0,0
"Otu05849",0,0,10,0,0,1,0,0,0,0,0,0,0,0,0
"Otu05851",6,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Otu05854",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Otu05857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Otu05859",2,0,0,4,0,0,0,0,0,0,0,0,0,0,4
"Otu05860",0,0,0,0,0,13,0,0,0,2,0,0,0,0,0
"Otu05861",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05863",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Otu05864",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Otu05867",0,0,1,0,0,4,3,0,0,0,3,0,0,0,0
"Otu05868",0,0,0,0,0,13,0,0,0,0,0,0,0,0,3
"Otu05869",0,0,1,0,0,0,0,0,0,5,0,0,0,0,0
"Otu05870",1,0,1,0,0,4,0,0,0,3,0,1,0,0,0
"Otu05871",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05873",0,2,1,0,0,0,0,0,0,0,0,2,0,0,0
"Otu05874",0,0,1,3,0,4,2,0,0,0,0,0,0,0,0
"Otu05877",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"Otu05878",0,0,0,0,7,0,1,0,0,0,0,0,0,0,0
"Otu05879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05880",1,0,0,0,0,2,0,0,0,3,0,0,0,1,0
"Otu05881",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05883",4,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"Otu05885",4,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"Otu05886",6,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Otu05887",0,0,2,0,0,0,0,0,0,6,0,1,0,0,0
"Otu05888",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05889",2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Otu05891",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Otu05893",4,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"Otu05894",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Otu05900",0,0,0,0,0,0,0,0,0,10,0,0,0,1,0
"Otu05902",0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
"Otu05905",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Otu05908",0,0,0,0,0,0,0,0,0,7,0,0,0,0,2
"Otu05913",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Otu05915",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05917",0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
"Otu05919",0,0,0,0,0,14,0,0,0,0,0,0,0,0,1
"Otu05922",0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
"Otu05923",0,0,0,0,0,1,0,0,0,1,0,5,0,1,0
"Otu05924",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
"Otu05925",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05928",3,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"Otu05929",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05930",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05931",0,0,0,0,0,0,0,0,0,0,0,2,0,1,3
"Otu05937",6,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Otu05939",4,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Otu05943",0,0,0,0,0,0,0,0,0,0,0,3,0,4,0
"Otu05950",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05952",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05953",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05954",2,0,0,0,0,3,0,0,0,2,0,0,0,0,0
"Otu05955",0,0,0,0,0,3,2,0,0,0,0,1,0,0,0
"Otu05958",0,2,0,0,0,0,0,0,0,5,0,0,0,0,0
"Otu05959",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Otu05960",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Otu05961",2,0,0,0,0,1,0,0,0,0,5,0,0,0,1
"Otu05962",1,0,0,0,0,0,2,0,0,2,0,0,0,0,0
"Otu05963",0,0,0,0,0,7,0,0,0,0,2,0,0,0,0
"Otu05964",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Otu05965",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Otu05966",0,0,0,1,0,0,0,0,0,0,4,0,0,0,0
"Otu05967",0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
"Otu05968",0,0,1,0,0,8,0,0,0,0,1,0,0,0,0
"Otu05971",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Otu05972",0,0,0,0,0,0,0,0,0,4,0,1,0,2,0
"Otu05973",0,0,4,0,0,1,0,0,0,4,0,0,0,0,0
"Otu05974",3,0,0,0,0,0,0,0,0,3,0,0,0,1,0
"Otu05978",0,0,0,0,0,0,1,0,0,5,0,0,0,0,0
"Otu05980",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05982",7,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Otu05986",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Otu05987",2,0,1,0,0,2,0,0,0,0,0,0,0,0,0
"Otu05990",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"Otu05993",0,1,9,0,0,0,0,0,0,0,0,1,0,0,0
"Otu05996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05998",0,1,0,0,0,0,4,0,0,0,0,0,0,0,0
"Otu05999",0,0,2,0,0,0,0,0,0,0,4,0,0,0,0
"Otu06001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu06002",0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"Otu06003",0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
"Otu06004",0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
"Otu06005",0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
"Otu06009",0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"Otu06010",0,0,0,0,0,2,0,0,0,5,3,0,0,0,0
"Otu06011",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu06014",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu06015",0,0,0,0,0,7,1,0,0,0,0,0,3,0,0
"Otu06017",0,0,0,0,0,7,0,0,0,3,0,0,0,0,0
"Otu06018",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu06021",0,2,0,0,0,0,0,0,3,0,0,0,0,0,0
"Otu06027",0,0,1,0,0,10,0,0,0,0,0,0,0,0,2
"Otu06028",5,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Otu06029",1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"Otu06030",0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
"Otu06033",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Otu06034",0,0,0,0,0,0,0,0,0,10,0,0,0,0,1
"Otu06035",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"Otu06036",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Otu06037",4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Otu06039",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Otu06041",0,0,1,0,0,0,0,0,0,2,0,0,0,1,0
"Otu06042",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"Otu06043",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Otu06045",0,2,0,0,0,7,0,0,0,0,2,0,0,0,0
"Otu06048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Otu06049",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Otu06053",0,0,4,1,0,0,0,0,0,0,0,1,0,0,0
"Otu06056",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"Otu06058",0,0,0,0,0,0,0,0,0,1,0,0,0,2,4
"Otu06059",0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
"Otu06060",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Otu06062",7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Otu06063",1,0,7,4,0,2,0,0,0,0,0,0,0,0,0
"Otu06064",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu06066",0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"Otu06067",0,0,6,0,0,0,0,0,0,0,2,0,0,0,0
"Otu06069",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Otu06070",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
"Otu06074",5,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"Otu06076",5,0,0,0,0,1,3,0,0,0,0,0,0,0,0
"Otu06077",1,0,0,1,3,2,1,0,0,0,0,0,0,0,0
"Otu06078",0,0,3,0,0,1,0,0,0,0,3,1,0,0,3
"Otu06079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu06083",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Otu06084",0,0,0,0,0,2,0,0,0,0,4,0,0,0,0
"Otu06085",1,0,1,0,2,0,0,0,0,0,2,0,0,0,0
"Otu06086",5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Otu06087",0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
"Otu06089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu06093",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"Otu06094",3,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"Otu06095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
