"","JM1710_Coe_Spring_Run","JM1711_Paradise_Park_Spring","JM1716_Bell_Spring","JM1717_Buzzard_Fountain","JM1719_Palmer_B","JM1722_James_Spring","JM1724_Lolo_Spring","JM1726_Choss_Seep","JM1727_Zigzag_Spring","JM1728_Coe_Spring_B","JM1766_James_Spring","JM1767_Sandy_Creek_Trib.","JM1776_Buzzard_Fountain","JM1778_Paradise_Park_Spring","JM1785_Choss_Seep"
"Otu00180",1,1,0,26,11,135,0,0,0,4,6,0,0,0,0
"Otu00181",0,0,10,9,0,0,5,0,0,0,43,6,0,2,3
"Otu00182",50,0,24,1,0,2,3,4,0,133,365,0,0,1,158
"Otu00183",0,0,0,0,0,0,0,0,0,0,0,0,0,439,0
"Otu00184",6,0,0,4,0,0,0,0,0,0,53,0,0,0,0
"Otu00185",3,4,1,15,106,0,334,11,0,6,0,73,3,26,0
"Otu00186",252,9,133,25,9,136,22,8,2,97,4,60,0,37,38
"Otu00187",0,2,0,0,0,0,0,0,0,0,0,0,0,46,0
"Otu00188",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Otu00189",55,0,400,13,3,11,0,0,0,8,105,21,0,12,2
"Otu00190",0,0,0,0,0,1,0,0,0,0,4,0,1,0,1
"Otu00191",0,0,5,5,0,341,133,9,0,17,13,2,0,1,21
"Otu00192",376,0,1,40,0,29,0,9,46,7,60,0,0,0,180
"Otu00193",0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
"Otu00194",0,3,0,0,0,0,0,78,2,19,0,2,14,349,0
"Otu00195",94,28,72,17,6,82,67,25,0,106,0,116,0,6,1
"Otu00196",0,0,0,5,0,0,0,0,0,0,702,0,0,0,0
"Otu00197",1,1,28,0,0,6,0,0,0,7,11,0,0,0,0
"Otu00198",37,2,5,84,0,68,31,4,0,74,90,11,83,56,20
"Otu00199",0,2,0,0,121,0,0,0,0,0,0,0,0,3,0
"Otu00200",1,3,0,0,0,29,15,25,30,14,92,298,101,10,0
"Otu00201",0,0,0,0,0,0,0,0,0,1227,0,0,1,0,0
"Otu00202",0,0,2,0,0,0,12,0,0,0,0,0,0,0,0
"Otu00203",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"Otu00204",0,0,0,0,0,0,0,0,0,0,498,0,0,0,1
"Otu00205",0,0,0,0,0,0,0,0,0,0,0,0,410,0,0
"Otu00206",90,3,1,0,0,856,0,0,6,28,0,0,0,0,298
"Otu00208",0,0,0,11,0,8,433,0,0,0,0,0,0,0,0
"Otu00209",199,21,145,11,0,191,1,4,0,74,59,15,0,2,27
"Otu00210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00211",1,1,0,0,0,0,0,0,0,0,0,0,129,0,0
"Otu00212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00213",0,0,0,0,0,0,0,0,0,0,642,0,0,0,0
"Otu00214",0,12,0,66,0,106,0,0,0,0,0,0,0,0,0
"Otu00215",0,0,0,1,0,0,0,0,0,0,48,0,0,1,1
"Otu00217",0,0,0,0,0,0,0,318,235,0,0,14,0,0,0
"Otu00218",0,0,0,0,0,0,0,0,1298,0,0,0,0,2,0
"Otu00219",2,0,0,24,0,3,0,0,0,11,60,0,0,26,45
"Otu00220",0,0,0,0,0,0,0,0,0,0,0,0,210,0,1
"Otu00221",4,16,1,1,0,3,2,0,0,3,19,21,334,0,1
"Otu00223",0,0,139,0,6,0,176,2,0,336,0,1,0,13,0
"Otu00224",0,1,0,0,0,0,0,0,0,0,0,0,0,0,823
"Otu00225",0,0,0,0,0,0,453,0,0,0,0,0,0,0,0
"Otu00226",0,0,0,0,0,0,0,0,0,0,84,0,0,0,0
"Otu00227",15,1,15,3,0,8,2,0,24,21,0,46,0,287,0
"Otu00228",0,1,0,0,0,0,0,1,6,0,0,24,0,128,0
"Otu00229",0,6,0,0,0,0,0,0,0,0,0,0,233,0,0
"Otu00230",0,0,1195,0,0,0,0,0,0,1,0,0,0,0,0
"Otu00231",0,4,0,0,0,0,0,30,71,0,0,0,0,0,0
"Otu00232",21,226,3,0,0,33,0,3,0,25,15,77,59,1,18
"Otu00233",13,12,13,4,307,11,0,0,3,5,2,0,0,2,0
"Otu00234",0,0,0,24,0,0,99,115,67,0,0,1,0,157,1
"Otu00236",178,4,37,65,9,129,22,4,3,110,9,8,0,59,0
"Otu00237",0,343,0,0,0,0,0,0,0,0,16,0,0,0,0
"Otu00238",0,363,0,0,0,0,18,0,0,0,0,0,0,0,0
"Otu00239",114,0,0,2,0,0,0,0,0,0,151,31,0,0,0
"Otu00240",23,0,0,55,0,0,0,0,0,0,112,0,0,0,0
"Otu00241",114,21,68,16,0,131,30,2,0,153,69,65,0,2,22
"Otu00242",1,0,0,0,0,0,4,0,17,20,21,0,0,2,5
"Otu00243",9,0,26,181,0,0,0,5,0,40,0,13,0,69,0
"Otu00244",41,0,125,0,0,359,0,0,0,56,82,8,55,39,0
"Otu00245",0,0,0,0,0,0,38,0,38,0,0,0,0,178,0
"Otu00246",0,242,0,0,0,0,0,0,0,0,0,0,0,100,0
"Otu00248",2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Otu00249",0,19,0,0,0,0,0,338,317,12,12,0,0,0,0
"Otu00250",0,0,0,0,0,0,0,0,120,0,0,0,0,313,0
"Otu00251",4,0,0,0,0,0,0,0,0,34,417,0,0,0,0
"Otu00252",0,0,0,0,0,0,0,0,0,1,0,0,8,0,0
"Otu00253",9,7,1,6,0,52,13,0,0,17,4,37,0,117,16
"Otu00254",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Otu00255",20,0,9,0,351,0,0,1,0,2,0,16,0,24,0
"Otu00256",0,0,0,496,0,0,0,0,0,0,0,0,0,0,0
"Otu00257",22,0,977,1,0,0,0,0,0,25,0,0,0,0,0
"Otu00258",0,0,0,7,168,0,253,16,0,0,0,1,0,2,0
"Otu00259",62,0,36,2,0,18,15,1,1,109,0,3,0,36,11
"Otu00260",1,0,0,0,0,0,0,0,0,0,458,0,0,0,0
"Otu00261",0,0,6,22,113,1,30,1,0,6,0,5,0,28,0
"Otu00263",0,0,0,0,0,0,0,0,0,0,5,0,0,0,20
"Otu00264",0,1,0,49,0,5,0,2,0,0,0,5,0,58,0
"Otu00266",1,0,0,0,0,0,5,1,0,6,7,0,0,17,32
"Otu00267",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"Otu00268",0,0,1,0,41,0,0,0,0,3,0,4,0,69,0
"Otu00269",0,5,0,0,0,0,0,0,0,0,2,0,312,0,0
"Otu00270",2,0,0,0,17,2,36,0,0,1,0,130,0,4,0
"Otu00271",3,0,0,0,0,0,0,0,0,0,495,0,0,0,0
"Otu00272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00273",0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
"Otu00274",3,0,392,28,0,178,0,0,13,10,0,64,0,0,0
