Location,Env_Variable_TableS1,Env_Variable,Rep,Rsquared,r_squared_orig,RSME,MAE,Ct <5 Unique Values,Ct <5 Unique Values_orig,Truncated_Grid,Notes
Glacier National Park,potassium,K,2,0.200517689,0.059936451,0.044980416,0.038915012,50,50,,
Glacier National Park,potassium,K,3,0.230226082,0.034557447,0.0444153,0.038485179,50,50,,
Glacier National Park,sio2,SiO2,1,0.237510513,0.071053773,1.136319008,0.854144405,,,,
Glacier National Park,sio2,SiO2,2,0.088281205,0.100249809,1.198032753,0.901329088,3,12,,
Glacier National Park,sio2,SiO2,3,0.169663937,0.111521783,1.152924487,0.888488906,,3,,"In nominalTrainWorkflow(x = x, y = y, wts = weights, info = trainInfo,  :"
Glacier National Park,sodium,Na,1,0.036024792,0.208665212,0.199793965,0.155795756,15,21,,
Glacier National Park,sodium,Na,2,0.103122068,0.222546392,0.192542136,0.146960689,15,18,,
Glacier National Park,sodium,Na,3,0.135952316,0.116120842,0.189529068,0.145556256,21,15,,
Glacier National Park,strontium,Sr,1,0.124857626,0.066576318,0.014431748,0.013144781,9,33,,
Glacier National Park,strontium,Sr,2,0.085261502,0.024364033,0.014229247,0.012945576,15,15,,
Glacier National Park,strontium,Sr,3,0.172752735,0.01665393,0.014345667,0.013283351,12,21,,
Glacier National Park,sulfate,SO4,1,0.049584783,0.123511663,1.142638731,0.838109662,15,9,,
Glacier National Park,sulfate,SO4,2,0.13687125,0.154588548,1.013685716,0.777367309,3,9,,
Glacier National Park,sulfate,SO4,3,0.007390971,0.047622904,1.07451164,0.81279795,,,,
Glacier National Park,tds,TDS,1,0.124916966,0.379090979,28.58413774,23.47607683,,,,
Glacier National Park,tds,TDS,2,0.146601123,0.356085633,28.1850171,23.00715865,,18,,
Glacier National Park,tds,TDS,3,0.259340234,0.38799073,26.45980758,22.00265158,,3,,
Glacier National Park,fi_best,fi,1,0.325778977,0.215936849,0.175857418,0.147401991,6,15,,
Glacier National Park,fi_best,fi,2,0.056767011,0.2610486,0.164450017,0.13752075,4,6,,
Glacier National Park,fi_best,fi,3,0.048638719,0.16269106,0.162220113,0.140496031,3,12,,
