"","JM1713_Rubideau","JM1714_Lunch_Creek","JM1715_Mineral_Creek_Spring","JM1741_McDonald_Creek_1","JM175_Mtn_Goat","JM1762_Mtn_Goat","JM1773_Lunch_Creek","JM1774_Crack_Spring","JM177_Piegan_North","JM179_Weeping_Wall"
"Otu00197",0,0,0,0,0,0,0,0,0,0
"Otu00198",94,27,2,12,3,0,43,20,2,1
"Otu00199",0,9,6,0,26,0,2,0,0,22
"Otu00200",0,0,1,31,4,11,10,1,6,0
"Otu00201",0,0,0,0,0,0,0,0,0,0
"Otu00202",0,0,0,0,0,397,5,0,0,0
"Otu00203",0,0,0,0,0,0,5,4,0,0
"Otu00204",0,0,0,113,0,1,0,82,0,0
"Otu00205",0,0,0,0,0,0,0,0,359,0
"Otu00206",0,0,0,0,0,0,0,0,0,0
"Otu00208",0,14,0,0,30,0,0,8,0,0
"Otu00209",6,0,0,0,6,0,0,0,0,0
"Otu00210",0,0,0,0,0,552,0,0,0,0
"Otu00211",0,0,0,0,0,0,0,0,83,0
"Otu00212",0,0,923,63,0,11,0,0,0,0
"Otu00213",0,0,0,5,0,0,0,0,0,0
"Otu00214",0,269,0,15,0,0,0,0,0,0
"Otu00215",0,0,0,16,6,0,0,53,4,0
"Otu00217",0,0,0,0,0,0,0,0,0,0
"Otu00218",0,0,0,91,0,0,0,0,0,0
"Otu00219",0,0,20,117,3,0,117,109,0,0
"Otu00220",0,0,0,0,0,0,0,0,9,0
"Otu00221",0,0,0,0,0,0,6,3,214,0
"Otu00223",156,5,6,0,69,0,0,0,5,0
"Otu00224",0,0,0,0,0,0,0,0,0,0
"Otu00225",0,1,1,0,0,1,0,0,0,14
"Otu00226",0,0,0,6,0,0,613,0,0,0
"Otu00227",1,17,0,0,0,0,13,42,0,2
"Otu00228",0,11,0,0,8,1,0,0,0,1
"Otu00229",0,0,0,0,0,0,0,0,398,0
"Otu00230",0,0,0,0,0,0,0,0,0,0
"Otu00231",0,0,23,9,0,0,3,0,0,467
"Otu00232",0,0,0,0,0,0,0,3,1,0
"Otu00233",311,1,15,0,0,37,0,2,0,1
"Otu00234",0,2,0,0,0,0,3,0,0,0
"Otu00236",0,11,0,2,4,0,8,51,0,3
"Otu00237",0,0,0,0,0,0,0,0,0,0
"Otu00238",0,0,0,8,0,0,0,0,0,0
"Otu00239",0,0,0,0,0,0,0,0,0,0
"Otu00240",0,0,59,270,0,0,0,21,0,0
"Otu00241",0,0,0,1,9,0,0,13,1,0
"Otu00242",116,0,0,0,0,63,6,3,0,235
"Otu00243",1,167,0,0,0,0,0,0,0,0
"Otu00244",0,0,0,0,18,0,13,18,0,0
"Otu00245",73,1,0,0,12,38,83,1,4,0
"Otu00246",0,0,0,0,0,0,4,0,0,0
"Otu00248",0,0,0,0,0,147,0,0,0,0
"Otu00249",25,0,0,0,0,0,0,0,0,0
"Otu00250",0,0,0,0,0,0,57,0,0,0
"Otu00251",0,0,0,0,0,0,0,0,0,0
"Otu00252",0,0,0,0,0,0,0,0,39,0
"Otu00253",19,42,7,0,190,0,0,0,0,5
"Otu00254",0,0,43,0,0,0,668,0,0,0
"Otu00255",2,0,113,0,6,0,0,9,0,14
"Otu00256",0,0,0,0,0,0,0,63,0,0
"Otu00257",0,0,0,0,0,0,2,0,0,0
"Otu00258",3,11,5,0,0,0,0,0,0,0
"Otu00259",3,5,0,6,335,0,5,18,0,0
"Otu00260",0,0,0,1,0,0,0,106,0,0
"Otu00261",123,79,139,29,0,9,8,2,0,14
"Otu00263",0,0,0,368,0,0,0,86,0,0
"Otu00264",0,3,0,0,0,0,0,430,0,0
"Otu00266",0,0,0,1,563,0,0,0,0,1
"Otu00267",22,0,365,117,0,0,0,0,0,161
"Otu00268",12,4,1,2,0,0,14,0,0,66
"Otu00269",0,0,0,3,0,0,0,0,103,0
"Otu00270",0,224,0,0,0,0,7,2,0,0
"Otu00271",0,0,0,0,0,0,0,1,0,0
"Otu00272",80,0,0,0,0,256,0,0,0,0
"Otu00273",0,0,0,0,0,0,0,0,0,0
"Otu00274",0,0,0,1,0,0,0,0,0,1
"Otu00275",0,0,0,0,0,0,0,2,0,0
"Otu00276",0,0,0,0,0,0,0,0,0,0
"Otu00277",0,0,0,0,0,0,0,0,0,443
"Otu00278",0,0,75,13,0,0,77,114,0,0
"Otu00279",11,7,5,11,0,0,0,0,0,20
"Otu00281",0,0,0,0,14,0,14,1,0,0
"Otu00282",0,0,0,0,0,0,164,0,0,0
"Otu00284",0,0,0,0,0,0,0,0,26,0
"Otu00285",0,0,0,6,0,0,31,0,0,0
"Otu00286",0,0,0,0,0,0,0,0,0,420
"Otu00287",6,1,0,2,3,0,9,10,2,0
"Otu00288",0,1,0,55,0,0,24,0,0,0
"Otu00289",57,18,0,0,19,0,5,3,5,0
"Otu00290",0,0,0,0,2,0,0,0,0,0
"Otu00291",0,0,0,5,0,0,0,27,0,1
"Otu00292",0,0,0,0,0,204,0,0,0,0
"Otu00294",0,0,0,0,13,0,12,0,0,318
"Otu00295",0,318,0,0,2,0,1,0,0,0
"Otu00298",0,0,2,83,0,0,0,0,0,0
"Otu00299",0,0,0,0,0,0,0,0,0,0
"Otu00300",1,0,0,0,0,0,0,0,0,0
"Otu00301",0,0,0,4,0,0,142,486,0,0
"Otu00303",11,21,0,0,43,0,0,0,0,0
"Otu00304",0,0,0,0,0,0,0,52,0,0
"Otu00305",4,1,3,31,14,18,86,21,59,2
"Otu00306",0,15,0,0,6,0,1,5,4,0
"Otu00307",48,8,86,1,3,6,4,0,0,22
"Otu00308",0,0,0,0,0,0,0,0,0,0
"Otu00309",0,23,0,0,0,0,0,0,0,367
"Otu00310",0,0,0,6,0,0,0,0,0,0
"Otu00311",0,6,4,6,12,0,6,0,10,95
"Otu00312",35,14,0,0,28,0,8,4,0,45
"Otu00313",0,7,14,0,6,0,7,152,0,0
"Otu00314",0,0,420,0,0,0,0,0,0,0
"Otu00315",0,0,0,4,0,0,0,0,0,0
"Otu00316",0,0,0,3,182,0,4,35,0,0
"Otu00317",0,4,0,6,0,0,17,30,0,0
"Otu00318",0,0,0,0,0,0,0,0,0,0
"Otu00319",44,33,1,0,4,5,1,15,0,6
"Otu00320",0,3,0,0,0,0,23,7,0,0
"Otu00321",0,0,10,54,14,0,116,0,0,0
"Otu00322",0,0,0,0,0,0,0,0,0,0
"Otu00323",0,0,0,0,6,0,40,0,0,0
"Otu00324",51,17,62,0,0,5,0,0,0,5
"Otu00325",0,0,0,0,135,0,12,0,71,0
"Otu00326",23,19,0,0,29,0,1,6,0,9
"Otu00327",0,12,0,0,58,0,6,0,0,15
"Otu00328",0,89,0,0,0,0,0,0,0,0
"Otu00329",0,0,0,2,0,0,0,9,0,0
"Otu00330",17,70,17,2,16,10,1,3,0,4
"Otu00331",0,0,0,19,62,0,0,0,0,0
"Otu00332",0,0,5,9,0,0,0,0,0,0
"Otu00333",0,0,0,0,0,0,0,0,0,0
"Otu00334",0,0,0,0,0,0,0,0,0,0
"Otu00335",0,0,0,7,7,5,6,5,0,0
"Otu00336",0,1,1,0,1,0,3,12,0,0
"Otu00337",0,0,39,0,79,0,13,0,0,0
"Otu00338",0,13,1,2,0,5,0,39,0,0
"Otu00339",0,0,0,0,0,0,0,122,0,0
"Otu00340",0,0,0,14,0,0,33,16,0,0
"Otu00341",0,0,0,0,0,0,0,6,23,0
"Otu00343",45,2,0,5,84,0,35,51,0,26
"Otu00344",0,0,11,360,0,0,0,0,0,0
"Otu00345",0,0,0,0,0,0,0,0,0,0
"Otu00346",31,6,0,0,1,0,0,0,0,4
"Otu00347",103,1,3,2,35,0,16,0,0,0
"Otu00348",0,0,0,0,7,0,0,0,0,0
"Otu00349",0,0,0,0,0,0,0,6,0,0
"Otu00350",0,0,57,4,0,187,0,0,0,0
"Otu00351",27,0,13,1,31,0,27,20,0,14
"Otu00352",0,0,0,0,0,1,0,23,0,0
"Otu00353",0,0,2,21,45,0,0,193,0,0
"Otu00354",0,0,0,0,0,0,0,4,0,0
"Otu00355",0,22,29,113,0,0,0,0,0,0
"Otu00356",1,7,9,0,0,137,6,0,0,26
"Otu00357",13,0,0,9,48,0,0,25,0,4
"Otu00358",0,0,30,325,0,0,0,0,0,0
"Otu00359",0,0,0,4,0,0,0,0,0,0
"Otu00360",0,0,0,0,0,0,21,0,0,0
"Otu00361",33,222,14,0,9,9,1,0,0,23
"Otu00362",0,3,0,7,19,0,1,0,0,2
"Otu00363",0,0,18,106,0,0,0,0,0,0
"Otu00364",21,0,2,0,2,234,0,0,0,0
"Otu00365",0,0,81,5,0,0,0,13,0,0
"Otu00366",0,0,0,0,43,0,0,0,0,0
"Otu00367",201,92,0,0,0,0,7,0,0,21
"Otu00368",0,0,186,79,0,0,7,0,0,0
"Otu00369",0,0,4,317,0,0,0,0,0,0
